@ID	D Default record ID for RetrieVe	0		PRODUCTS	10L	S	
CLASS	D	3		Class	10L	S	
@SELECT	PH	PRODID CLASS NAME PRICE QOH ID.SUP					
BRIEF	PH	BY DESC PRODID DESC PRICE QOH MIN_QOH ID.SUP					
DEFAULT	D	6	MD0	Default~Order	7R	S	
DESC	D	4		Description	30T	S	
NAME	D	2		Name	20T	S	
PRICE	D	5	MD2,$	Price	10R	S	
PRODID	D	0		Product~Number	7T	S	
QOH	D	7	MD0	Quantity~On Hand	8R	S	
COST	D	10	MR3	Product Cost	10R	M	VENDCOST
VENDID	D	1		Vendor ID	6R	M	VENDCOST
MIN_QOH	D	8	MD0	Minimum~Qty On-hand	8R	S	
VENDCOST	PH	VENDID COST
WEIGHT	D	9	MD0	Weight	8R	S	
@	PH	PRODID NAME CLASS DESC PRICE QTY_TO_ORDER QOH MIN_QOH DEFAULT WEIGHT ID.SUP					
TALLY	I - Used to count records	1	MD0	Count	5R	S	
VALUE	I	PRICE * QOH	MD02,$	Inventory~    Value	12R	S	
VEND_NAME	I	TRANS(VENDORS,VENDID,1,'X')		Vendor Name	30T	M	
SHORTFALL	I	QOH - MIN_QOH;IF @1 < '0' THEN ABS(@1) ELSE ''	MD0	Shortfall~Quantity	5R	S	
QTY_TO_ORDER	I	QOH - MIN_QOH ; ABS(@1) + DEFAULT ; IF @1 < '0' THEN @2 ELSE '0'	MD0	Quantity~To Order	5R	S	
