1016	1040~1134~1493	481819	1187871
1129	1403~1014~1385	1110354	1517230
1179	1457~1151~1456~1055~1190	1100187	1155964
1260	1017~1048	593860	593860
1356	1499~1271~1138~1377~1050~1351~1257	2031881	2042141
1576	1150~1249~1246~1331	1071066	1107906
2088	1352~1267~1394~1369~1266~1095~1120	1836501	2087169
2226	1438~1422~1210~1449	1326722	1404507
2786	1061~1071~1142~1065~1405~1155~1160~1245	3826719	3916341
3714	1470~1239~1039~1350	896376	1008662
3935	1214~1356~1444~1434~1073~1301	644022	1948230
4470	1001~1383~1002~1373~1146~1176	2656870	2656870
4786	1251~1087~1295~1008~1278~1379	1305470	1305470
4794	1211~1066~1300~1426~1428~1240	1499479	1574679
5120	1468~1167~1057	1273840	1273840
5492	1484~1314~1020~1365~1494~1024	633542	2016672
5936	1088~1051~1474~1332~1411	953688	1492488
6371	1015~1270~1417	856981	883594
6873	1110~1326~1041~1116~1361~1281	1751210	1846826
6974	1063~1196~1114~1231~1198~1032	1290191	1599745
7148	1396~1316~1164~1298	940929	1131549
7240	1189~1368~1205~1452~1458~1465~1181	1928749	1928749
7751	1472~1193~1386~1232	1663772	1663772
7777	1035~1496~1200	959869	984769
7790	1292~1081~1099~1254~1322~1427~1006~1471	2772834	2976128
7792	1415~1204	505546	881239
7803	1010~1290~1161	717092	744547
7811	1490~1208~1159~1086	1900827	1923767
8213	1333~1235~1077~1227~1183	2277301	2277301
8220	1022~1492~1294~1067	824637	1334755
8416	1129~1185~1219~1098	1085264	1085264
8592	1007	268905	268905
8610	1363~1078~1139~1108~1308	946111	946111
9413	1107~1118~1477	429135	429135
9792	1030~1358~1070~1371~1094~1075	1454334	1901805
9999	1340~1253~1079~1011~1387~1112	2133636	2275136
2968	1384~1445	147153	304453
3006	1064~1418~1025~1168	1378376	1975453
3201	1480~1228~1299~1171~1130	1233609	1264209
3413	1148~1038~1284	669902	833829
3470	1376~1489~1244~1360~1265~1101	1402302	1714451
4042	1395~1357~1500~1156~1222	1447634	1450131
4092	1467~1497~1311~1431~1429	1290171	1290171
4110	1334	0	615464
4281	1397~1097~1147~1215~1313~1179~1353	1493676	1493676
4476	1412~1399~1342~1491~1343	1736629	1736629
4902	1126~1124~1140	321838	1017409
5234	1091~1180~1495~1106~1260~1404~1479~1258	2476232	2728238
6225	1069~1338~1125~1089~1018~1233	1574994	1574994
6436	1127~1473~1105~1154	919215	1346945
6666	1080~1423~1153~1034~1269~1476	1166533	1570771
7103	1083~1398~1307~1435~1319~1485~1203~1186	2727085	2727085
7349	1344	0	294255
7399	1482~1194~1213	696106	970661
7864	1354~1174~1451~1355~1144	696890	1445155
8049	1304~1199~1381~1031~1252~1068~1220~1133	1451913	1923408
8478	1305~1157~1487~1026~1109	1285354	1285354
8624	1288~1390~1416~1455~1309	1426472	1451888
8640	1226~1119~1085~1374~1306~1328~1366~1273~1406~1122~1224~1469~1082	3527983	3875237
8744	1049~1327~1111~1165~1259~1225	2025049	2025049
8795	1430~1036~1380~1131~1461~1264~1475~1136	2312144	2375442
8888	1013~1349~1459~1375~1440	1720200	1744308
9262	1248~1325~1241	919081	919081
2133	1464~1197~1141~1115~1329~1437	1428646	1805714
2409	1382	291156	291156
2823	1289~1076~1297~1192	1249066	1249066
2959	1370~1454~1023~1191~1320~1280~1028	1471514	1902466
3113	1336~1321~1441~1188	674223	674223
3606	1324~1243~1420~1296~1158	1501346	1840230
4024	1123~1206~1166~1436	1713474	1713474
4271	1478~1037~1056~1046~1419~1463~1453~1004~1400	3214396	3595414
4707	1460~1093~1389~1439	841909	997310
5114	1100~1291~1230~1062~1318~1143~1184	2207413	2983337
5361	1409~1003~1481~1446~1009	2033466	2033466
5608	1202~1021~1282~1029~1486~1242~1421~1388	1701776	1701776
5895	1247~1005~1442~1393~1432~1268~1221	2715509	2715509
5938	1033~1339~1047~1092~1170~1378	1181194	1196938
6210	1402~1096~1285	1383072	1383072
6550	1346~1341~1103~1408	1292855	1292855
7191	1121~1207~1425	758680	758680
7279	1019~1287~1216~1212~1027	907721	937511
7924	1217~1450	523084	550349
8050	1263~1187	826307	826307
8555	1059~1172~1348~1413	1280810	1280810
8699	1012~1337	622784	622784
8758	1128~1286~1401~1488~1195	2048117	2048117
9838	1483~1163~1090~1162~1302~1256	1709550	1756750
1234	1498~1084~1277~1182~1424~1347	965580	1777000
2206	1052~1275~1223~1152~1283~1315~1229~1310	2017953	2053961
2510	1173~1391~1255	1359239	1359239
2604	1447	434893	434893
2775	1234~1414~1443~1262~1274	811648	1291930
3161	1250~1102~1177~1178~1359	1183826	1193026
3304	1042~1272~1016~1104	1069281	1602634
3916	1448~1058	558594	558594
3982	1060~1345	282092	363291
4130	1149~1392	790630	790630
4173	1238~1293~1276~1335	832072	832072
4792	1364~1317~1410~1175~1303	877759	1382421
5589	1053~1372~1330~1113	924191	997152
5883	1218~1462~1236~1209~1117~1054~1323~1367	2372624	2697498
6347	1312~1135~1169~1044~1279~1132	1482911	1765767
6633	1145~1237~1466	597941	597941
7791	1362~1433~1201~1072~1045~1261	2176926	2176926
7877	1074~1137	99164	357479
8771	1043~1407	472626	472626
