
SHIP	I	TRANS(ORDERS,ORDER_NUMS,7,"X")	D4-	Ship Date	10R	M	ORDER	SHIP~ORDER_NUMS`1~TRANS(ORDERS,ORDER_NUMS,SHIPPED,"X")	ACCOUNTS
ORDER_BAL	D	3	MD2,$	Order Balance	15R	S	
ORDER	PH	ORDER_NUMS DATE PRODIDS QTYS PRICES SHIP ID.SUP					
ORDER_NUMS	D	1	MD0	Order #	7R	M	ORDER
@	PH	CUSTID ORDER_NUMS SHIP_BAL ORDER_BAL ID.SUP					
QTYS	I	TRANS(ORDERS,ORDER_NUMS,5,"X")	MD0	Qtys	8R	M	ORDER	QTYS~ORDER_NUMS`1~TRANS(ORDERS,ORDER_NUMS,QTY,"X")	ACCOUNTS
PRODIDS	I	TRANS(ORDERS,ORDER_NUMS,4,"X")	MD0	Prod IDs	7R	M	ORDER	PRODIDS~ORDER_NUMS`1~TRANS(ORDERS,ORDER_NUMS,PRODID,"X")	ACCOUNTS
SHIP_BAL	D	2	MD2,$	Ship Balance	15R	S	
@SELECT	PH	CUSTID ORDER_NUMS SHIP_BAL ORDER_BAL ID.SUP					
CREDIT	I	TRANS(CUSTOMERS,CUSTID,8,"X")	MD2,$	Credit Limit	10R	S		
@ID	D Default record ID for RetrieVe	0		ACCOUNTS	10L	S	
DATE	I	TRANS(ORDERS,ORDER_NUMS,1,"X")	D4-	Order Date	10R	M	ORDER	
CUSTID	D	0	MD0	Cust ID	7R	S	
PRICES	I	TRANS(ORDERS,ORDER_NUMS,6,"X")	MD2,$	Prices	8R	M	ORDER	PRICES~ORDER_NUMS`1~TRANS(ORDERS,ORDER_NUMS,PRICE,"X")	ACCOUNTS
